implementing_partners,activity,activity_new,activity_description,recode?,
Myanmar Heart Development Organization,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Samll holder farmer support for monsoon paddy,,
WFP,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Samll holder farmer support for monsoon paddy,,
World Vision Myanmar,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Samll holder farmer support for monsoon paddy,,
Da-Nu National Affairs organization (DNAO),Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Soybean seeds and fertilizer for FFS training,,
Première Urgence Internationale (PUI),Provide crops & vegetables kits,provision of kitchen garden kits,"Support Gardening tools kits (9 tools in 1 package, 1 package per HH) and seeds (8 kinds of hybrid seeds in a pack, 2 packs of each kind of seeds per HH) for gardening activities",,
Norwegian Refugee Council,Provide crops & vegetables kits,provision of kitchen garden kits,Support Home gardening kit (17 items of vegetable seed and 6 gardening tools per kit),,
Solidarités International,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Supporting cash grant for buying of Seed and fertilizer and Land Preparation cost for Paddy Cultivation,,
Solidarités International,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Supporting cash grant for Paddy Seed Breeding,,
Solidarités International,Provide crops & vegetables kits,community infrastructure and eqipment,Supporting Paddy Drum Seeder for Paddy Cultivation,,
Solidarités International,Provide crops & vegetables kits,community infrastructure and eqipment,Supporting Power Tiller for Paddy Cultivation,,
Solidarités International,Provide crops & vegetables kits,"provision of crop, vegetable and seed kits",Supporting seed and tools for Commercial gardening,,
AVSI,Provide crops & vegetables kits,,Training materials for organic ertilizer (by village),1,
AVSI,Provide crops & vegetables kits,,Training materials for organic fertilizer (by village),1,
Action for Green Earth,Provide crops & vegetables kits,,Unconditional Cash,1,
BRAC Myanmar,Provide fishery kits,provision of fishery kits,Fingerling,,
BRAC Myanmar,Provide fishery kits,provision of fishery kits,"Fish Seeds, Fish Feed,Vegetable seeds,catch net",,
BRAC Myanmar,Provide fishery kits,provision of fishery kits,"Fish Seeds,Vegetable seeds,wash distribution",,
Solidarités International,Provide fishery kits,provision of fishery kits,Fishing kits distribution,,
MRCS,Provide fishery kits,provision of fishery kits,NA,,
Action for Green Earth,Provide livestock kits,provision of livestock kits,Conditional Cash distribution (Cash to buy two small goats)  Rice bran for goat feed+ Hygiene kits,,
BRAC Myanmar,Provide livestock kits,provision of fishery kits,"Fish Seeds, Fish Feed,Vegetable seeds,catch net",,
World Vision Myanmar,Provide livestock kits,provision of livestock kits,Local Chicken support,,
World Vision Myanmar,Provide livestock kits,provision of livestock kits,Provided Livestock packages (Chicken and related items),,
World Vision Myanmar,Provide livestock kits,provision of livestock kits,Provided Livestock packages (Pig and related items),,
World Vision Myanmar,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Acitivity_1,,
Karuna Mission Social Solidarity,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Activity_1,,
World Vision Myanmar,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Activity_1,,
Karuna Mission Social Solidarity,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Activity_1 Lifesaving food assistance program,,
World Vision Myanmar,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) lifesaving/crisis,Activity_1 Lifesaving food assistance program,,
Karuna Mission Social Solidarity,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Activity_2,,
World Vision Myanmar,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Cash Assistance,,
Karuna Mission Social Solidarity,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,"Cash distribution amount calculation is followed on average MEB for Kachin. Depending on vonerable situation analysis of household, the distribution is divided into 70% and 100%.",,
Action Contre la Faim,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Cash Distribution for food,,
People in Need (PIN),Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Cash distribution to dismissed factory worker in Shwe Pyi Thar,,
People in Need (PIN),Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Cash distribution to factory workers who do not get full paid  in Shwe Pyi Thar,,
Kachin Baptist Convention,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) lifesaving/crisis,Cash distribution to the Newly IDPs for half month,,
Kachin Baptist Convention,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Cash distribution to the R&R People for one month,,
Kachin Baptist Convention,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) lifesaving/crisis,Cash for food distribution to the IDPs camp,,
Save the Children,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Cash transfer,,
Save the Children,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Cash Transfer,,
Save the Children,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Collective Business Grant to the beneficiaries,1,
Finn Church Aid,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,"Conducting the rapid assessment, then setup the selection criteria together with community members. Supporting household food security for vulnerable children and families most affected by humanitarian crisis in Hlaing Thar Yar.",,
People in Need (PIN),Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Dismissed workers/unemployed individuals or workers not getting fully paid in shwepyithar,,
Center for Social Integrity (CSI),Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Food kits and hygiene kits distribution,,
Center for Social Integrity (CSI),Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Food kits distribution,,
World Vision Myanmar,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Food support,,
Myanmar Heart Development Organization,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,General Food Distribution,,
People for People,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,General Food Distribution,,
Plan International,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,General Food Distribution,,
WFP,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,General Food Distribution,,
Health Poverty Action (HPA),Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,"HPA provided cash in lieu of rice, bean, oil and salt to 133 IDPs in Man Ton Par temporary IDP camp in March 2021",,
Health Poverty Action (HPA),Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,"HPA provided cash in lieu of rice, bean, oil and salt to 163 IDPs in Tar Shwe Htan temporary IDP camp in March 2021",,
Health Poverty Action (HPA),Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,"HPA provided rice and cash in lieu of bean, oil and salt to 1523 IDPs in Shyit Yang camp in April and June 2021, the ration cover for 2 months( IDPs' food gap of March and April)",,
Health Poverty Action (HPA),Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,"HPA provided rice and cash in lieu of bean, oil and salt to 1822 IDPs in Maga Yang camp in April and June 2021 , the ration cover for 2 months( IDPs' food gap of March and April)",,
Health Poverty Action (HPA),Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,"HPA provided rice and cash in lieu of bean, oil and salt to 724 IDPs in Pajau camp in April and June 2021, the ration cover for 2 months( IDPs' food gap of March and April)",,
Center for Social Integrity (CSI),Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Hygiene kits distribution,1,
Mercy Corps,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,NA,,
Save the Children,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,NA,,
People in Need (PIN),Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,PLW + women with children under 5 and their households,,
Karuna Mission Social Solidarity,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Provide cash for food to displaced households,1,
Save the Children,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Provide 'productive grant',1,
Ethinic Equality Initiative (EEI),Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) lifesaving/crisis,Providing one off cash for curry to those who were temporary,,
Karuna Mission Social Solidarity,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,provision of cash and nutrition  assistance,,
Karuna Mission Social Solidarity,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of Cash for Food relief assistance to prolongly displaced IDPs in monthly basic throughout the year (Jan to Dec 2021) at the rate at MMK 20000/person/month.,,
Myanmar Heart Development Organization,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Provision of Cash for Food relief assistance to prolongly displaced IDPs in monthly basic throughout the year (Jan to Dec 2021) at the rate at MMK 20000/person/month.,,
WFP,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) lifesaving/crisis,Provision of Cash for Food relief assistance to prolongly displaced IDPs in monthly basic throughout the year (Jan to Dec 2021) at the rate at MMK 20000/person/month.,,
Finn Church Aid,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,"Supporting learning kits supports, household food security for vulnerable children and families most affected by humanitarian crisis in Hlaing Thar Yar. Provision of cash for livelihood for the selected households including PwDs.",,
Save the Children,Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Unconditional Cash Transfer to the beneficiaries,,
People in Need (PIN),Provide monthly cash-based transfers,Food distributions (in kind/voucher/cash) moderate/severe,Women HH living in 24 ward shwepyithar,,
Karuna Mission Social Solidarity,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Activity_1,,
Karuna Mission Social Solidarity,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Amount of Food rations ( rice+ green food + dry food) will be provided base on the number of displaced people accommodating by respective camp. In case of direct food aid the partner will take care of procurement of foods in the local market using the logistic and procurement policy of the partner. The IDP themselves will take rotation plan for cooking while the already set up camp management team will closely provide supervision and management.,,
Serve the World,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Basic food basket distributed,,
Metta Development Foundation,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Basic Food Distribution (Rice, Cooking Oil, Salt, Chickpea)",,
Karuna Mission Social Solidarity,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Basic Food Distribution as in kinds with the items of (Rice, Oil, Salt, pulse)",,
Karuna Mission Social Solidarity,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Cash distribution amount calculation is followed on average MEB for Kachin. Depending on vonerable situation analysis of household, the distribution is divided into 70% and 100%.",,
Save the Children,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Cash transfer,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,CDV rice support,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,CHV rice support,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Cooking oil (0.9 Liter) provided to Community Health Volunteer for leading GMP session and HE awareness session.,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Cooking oil 8 bottles(0.9Liter) per each HH,,
AVSI,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Distribution of in kind food assistance,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Emergency food support,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) lifesaving/crisis,Emergency Rice and Oil support,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food and In kind support,,
Karen Youth Network (KYN),Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food assistance through cash and voucher assistance and/or in-kind commodities,,
Center for Social Integrity (CSI),Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food distribution,,
Harmony Youth Association,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food Distribution,,
Mi Women and Child right organization,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food Distribution,,
Karuna Mission Social Solidarity,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food for June to August. It was led by Food Committee and Distribute ward by ward. Distribute as soon as arrived,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food item support for RC and MVC families,,
Action Contre la Faim,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Food kit distribution - the ration size contains Pawsan rice (50kg), Dry Noodle (6.4kg), Sugar (3.26kg), Egg (36 eggs), Pea (4.89kg), Vegetable oil (5 liter), Onion (4.89kg), Garlic (1.63kg), Fruits (1.5kg), Salt (1.63kg)",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food support,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food Support,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Food support for Animators, ECCD & NFE teachers, VSLA agent, Cleaner & Night Watch",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food support for CDV,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food support for CDV families,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food support for Child Group & So Drop families,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food support for Child Group families,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food support for Child Group Family,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food Support for COVID-19 response,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food support for CP,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food support for ECCD Committees and CDV,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food support for MVC,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Food support for MVC  Family, CBO Members and ECCD Committee and CPAG and Volunteer",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food support for MVC families,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Food support for MVC, RC, U2 & AN mother's familiy",,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food support for Non RC MVC families,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food support for RC & MVC familiy,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food support for Registered Children,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food support for Sponsorship volunteer,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food Support for Ultra Poor Graduation Familiy,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Food supports for Non RC MVC Family,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Foods Support for MVC RC Family,,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Foods Support for RC Families (Myo Haung East Ward),,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,Foods Support for RC Families (Myo Haung West Ward),,
World Vision Myanmar,Provide monthly food baskets,Food distributions (in kind/voucher/cash) moderate/severe,"Foods Support for RC Families
(Ah Lel Yar 1 Village)",,
