date,reporting_organization,implementing_partners,state,admin1_pcode,township,admin3_pcode,location,location_type,admin5_pcode,activity,delivery_modality,beneficiary_type,unique_beneficiaries,beneficiaries
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,taung oo maw,ward_towwn,220691,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,160
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,kyaut pyin seik,ward_towwn,NA,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,323
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,ah htet,ward_towwn,197551,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,199
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,chi wai,ward_towwn,197552,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,811
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,pone nar gyi,ward_towwn,NA,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,1025
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,nay pu khan,ward_towwn,169731,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,37
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Sittwe,MMR012001,thae chaung,camp,196200,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,601
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Sittwe,MMR012001,ohn taw gyi (south),camp,196191,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,545
2021-01-01,Save the Children,Save the Children,Rakhine,MMR012,Sittwe,MMR012001,ohn taw gyi (north),camp,196191,Cash for Work / Food for Assets,Cash,Rakhine stateless,Yes,577
2021-01-01,WFP,Save the Children,Rakhine,MMR012,Sittwe,MMR012001,thet kae pyin,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,13828
2021-01-01,WFP,Save the Children,Rakhine,MMR012,Sittwe,MMR012001,set yone su,camp,NA,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,507
2021-01-01,WFP,Save the Children,Rakhine,MMR012,Sittwe,MMR012001,thin bone tan,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,35
2021-01-01,WFP,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,ba wan chaung wa su,camp,NA,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,144
2021-01-01,WFP,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,ah nauk ywe,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,5100
2021-01-01,WFP,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,nget chaung,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,9230
2021-01-01,WFP,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,kyein ni pyin,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,6291
2021-01-01,WFP,Save the Children,Rakhine,MMR012,Pauktaw,MMR012007,sin tet maw,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,2649
2021-01-01,Solidarités International,Solidarités International,Rakhine,MMR012,Pauktaw,MMR012007,ah nauk ywe,camp,NA,Provide fishery kits,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),536
2021-01-01,Solidarités International,Solidarités International,Rakhine,MMR012,Pauktaw,MMR012007,nget chaung 2,camp,NA,Provide fishery kits,Cash,Rakhine stateless,Yes,643
2021-01-01,Solidarités International,Solidarités International,Rakhine,MMR012,Pauktaw,MMR012007,ahnauk yae village,ward_towwn,NA,Cash for Work / Food for Assets,Cash,Internally Displaced,Yes,754
2021-01-01,WFP,WFP,Rakhine,MMR012,Ann,MMR012014,pe pa don,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,404
2021-01-01,WFP,WFP,Rakhine,MMR012,Ann,MMR012014,kan deik,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,112
2021-01-01,WFP,WFP,Rakhine,MMR012,Ann,MMR012014,"sport hall, zay taung ward",camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,1589
2021-01-01,WFP,Myanmar Heart Development Organization,Rakhine,MMR012,Kyaukpyu,MMR012011,kyauk ta lone,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,1008
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,myo ma high school,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,1774
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,"kyauktaw town hall, pyi daw thar ward",camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,451
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,"church of christ, pyi taw thar ward",camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,359
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,kan sauk,camp,196906,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,241
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,kawi radanar,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,1482
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,mahar kan gyi shin,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,633
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,mahar kan gyi shin (thein pyin),camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,388
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,myo thit-hman kyaung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,118
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,nyaung chaung,camp,159750,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,3338
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,shan ywar kyaung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,182
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,shwe kyaung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,508
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,taung min kalar,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,512
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,tharthanar beit hman,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,74
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,thein kyaung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,125
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,train station,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,822
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,war taung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,1241
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,nidin,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,600
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,let saung kauk,camp,196872,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,188
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,taung bwe,camp,181596,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,196
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,shwe hlaing,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,192
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,yun nyar,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,145
2021-01-01,WFP,WFP,Rakhine,MMR012,Kyauktaw,MMR012004,khaung htoke,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,229
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,ann thar,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,833
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,dhanya waddy,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,126
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,na yan (dhamar yone),camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,104
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,na yan (monastery),camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,18
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,pale pauk,camp,197252,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,45
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,pone nyar rar ma,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,251
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,thu htay kone,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,126
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,thay kan,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,921
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,paik thay,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,200
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,tha yet oak,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,500
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,aung taing,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,167
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,sam ba le,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,371
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,tha dar,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,312
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,san htoe tan,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,108
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,san htoe tan (rak),camp,NA,Provide monthly cash-based transfers,Cash,Host/local Community,Yes,145
2021-01-01,WFP,WFP,Rakhine,MMR012,Minbya,MMR012005,set yone maw,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,29
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,ag zay di,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,315
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,chit thaung monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,412
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,daing kyi new monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,225
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,daing kyi old monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,359
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,hpa ya paw thein,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,300
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,hta ma yeik,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,130
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,ku lar chaung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,649
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,koe na won,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,171
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,kyauk yeik kay monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,325
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,lat kauk zay monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,708
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,na kan,camp,196633,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,121
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,na rat sar,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,116
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,pu zun hpe,camp,196427,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,392
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,pi pin yin,camp,196480,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,2412
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,pya hla,camp,196618,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,1188
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,taung myint,camp,187519,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,484
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,tin htain kan monastery,camp,196621,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,851
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,wet hla,camp,196636,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,788
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,ywa thit kay monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,908
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,pa rein,camp,196428,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,882
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,yai thei-muslim,camp,196507,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,551
2021-01-01,WFP,WFP,Rakhine,MMR012,Mrauk-U,MMR012003,raw ma ni sin oe,camp,NA,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,92
2021-01-01,WFP,Myanmar Heart Development Organization,Rakhine,MMR012,Myebon,MMR012006,kan thar htwat wa,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,212
2021-01-01,WFP,Myanmar Heart Development Organization,Rakhine,MMR012,Myebon,MMR012006,taung paw,camp,NA,Provide monthly cash-based transfers,Hybrid (In-kind & Cash),Internally Displaced,Yes,2841
2021-01-01,WFP,WFP,Rakhine,MMR012,Myebon,MMR012006,ah ngu ywar thit,camp,162631,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,329
2021-01-01,WFP,WFP,Rakhine,MMR012,Myebon,MMR012006,kan htaunt kyi,camp,197297,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,1126
2021-01-01,WFP,WFP,Rakhine,MMR012,Pauktaw,MMR012007,saing toke,camp,197406,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,104
2021-01-01,WFP,WFP,Rakhine,MMR012,Ponnagyun,MMR012002,aung mingalar monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,51
2021-01-01,WFP,WFP,Rakhine,MMR012,Ponnagyun,MMR012002,dama mandai monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,62
2021-01-01,WFP,WFP,Rakhine,MMR012,Ponnagyun,MMR012002,ray phyu kan camp (industrial zone),camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,812
2021-01-01,WFP,Myanmar Heart Development Organization,Rakhine,MMR012,Rathedaung,MMR012008,nyaung pin gyi,camp,155382,Provide monthly cash-based transfers,Hybrid (In-kind & Cash),Rakhine stateless,Yes,1830
2021-01-01,WFP,Myanmar Heart Development Organization,Rakhine,MMR012,Rathedaung,MMR012008,ah nauk pyin,camp,182513,Provide monthly cash-based transfers,Hybrid (In-kind & Cash),Rakhine stateless,Yes,2741
2021-01-01,WFP,Myanmar Heart Development Organization,Rakhine,MMR012,Sittwe,MMR012001,sat roe kya,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,2175
2021-01-01,WFP,Myanmar Heart Development Organization,Rakhine,MMR012,Sittwe,MMR012001,baw du pha,camp,196138,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,15175
2021-01-01,WFP,People for People,Rakhine,MMR012,Sittwe,MMR012001,set yone su,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,366
2021-01-01,WFP,People for People,Rakhine,MMR012,Sittwe,MMR012001,basare,camp,196200,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),2284
2021-01-01,WFP,People for People,Rakhine,MMR012,Sittwe,MMR012001,ohn taw gyi 1,camp,196138,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,10449
2021-01-01,WFP,People for People,Rakhine,MMR012,Sittwe,MMR012001,ohn taw gyi 3,camp,196138,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),3541
2021-01-01,WFP,People for People,Rakhine,MMR012,Sittwe,MMR012001,ohn taw gyi 4,camp,196138,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),3649
2021-01-01,WFP,People for People,Rakhine,MMR012,Sittwe,MMR012001,ohn taw gyi 5,camp,196138,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),2712
2021-01-01,WFP,Plan International,Rakhine,MMR012,Sittwe,MMR012001,dar pai,camp,196200,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),4270
2021-01-01,WFP,Plan International,Rakhine,MMR012,Sittwe,MMR012001,say tha mar gyi,camp,199017,Provide monthly cash-based transfers,Cash,Rakhine stateless,No (beneficiary is also receiving other assistant),4334
2021-01-01,WFP,Plan International,Rakhine,MMR012,Sittwe,MMR012001,thae chaung,camp,196200,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,21137
2021-01-01,WFP,Plan International,Rakhine,MMR012,Sittwe,MMR012001,ohn taw chay,camp,199017,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,3445
2021-01-01,WFP,Plan International,Rakhine,MMR012,Sittwe,MMR012001,khaung doke khar 1,camp,196191,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,2496
2021-01-01,WFP,Plan International,Rakhine,MMR012,Sittwe,MMR012001,khaung doke khar 2,camp,196191,Provide monthly cash-based transfers,Cash,Rakhine stateless,Yes,1975
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,aung thiri monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,125
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,ahmyo thar monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,108
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,alo taw pyae monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,359
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,baddaw maw,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,229
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,da khaung (kon tan),camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,100
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,dama yama monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,238
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,gaw thi tar yone,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,21
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,ka yu chaung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,67
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,kyay taw,camp,184532,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,37
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,maha muni,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,70
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,maha zayya thihti pahtan monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,100
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,mahar thima wan tha (phara myar thein) monastery (kone tan),camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,363
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,mani radanar,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,171
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,may yu dama set khu,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,100
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,nann shwe gu,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,92
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,nga sin yine chaung,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,171
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,oak tha linn,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,192
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,se gyi,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,33
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,shwe pyi thar monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,108
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,si pin thar yar,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,104
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,su taung pyae monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,141
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,tay zar rama ka ma htan monastery,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,145
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,thaw bi tar yarma,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,133
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,thu di tar yone,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,78
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,wibaza wardi,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,529
2021-01-01,WFP,WFP,Rakhine,MMR012,Sittwe,MMR012001,zee taw,camp,NA,Provide monthly cash-based transfers,Cash,Internally Displaced,Yes,100
2021-01-01,WFP,Action for Green Earth,Rakhine,MMR012,Buthidaung,MMR012010,ywet nyo taung,ward_towwn,197899,Provide monthly food baskets,In-kind,Rakhine stateless,Yes,2838
2021-01-01,WFP,Action for Green Earth,Rakhine,MMR012,Buthidaung,MMR012010,du pyu chaung,ward_towwn,NA,Provide monthly food baskets,In-kind,Rakhine stateless,Yes,3064
2021-01-01,WFP,Action for Green Earth,Rakhine,MMR012,Buthidaung,MMR012010,tha yet kin ma nu,ward_towwn,NA,Provide monthly food baskets,In-kind,Rakhine stateless,Yes,2156
2021-01-01,WFP,Action for Green Earth,Rakhine,MMR012,Buthidaung,MMR012010,let wea det pyin shay,ward_towwn,NA,Provide monthly food baskets,In-kind,Rakhine stateless,Yes,7590
2021-01-01,WFP,Action for Green Earth,Rakhine,MMR012,Maungdaw,MMR012009,pan taw pyin,ward_towwn,187107,Provide monthly food baskets,In-kind,Rakhine stateless,Yes,2195
2021-01-01,WFP,Action for Green Earth,Rakhine,MMR012,Maungdaw,MMR012009,(du) nyaung pin gyi,ward_towwn,198007,Provide monthly food baskets,In-kind,Rakhine stateless,Yes,6157
2021-01-01,WFP,Action for Green Earth,Rakhine,MMR012,Maungdaw,MMR012009,tat u chaung,ward_towwn,198009,Provide monthly food baskets,In-kind,Rakhine stateless,Yes,1930
2021-01-01,WFP,Action for Green Earth,Rakhine,MMR012,Maungdaw,MMR012009,pa din,ward_towwn,166520,Provide monthly food baskets,In-kind,Rakhine stateless,Yes,4517
